"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","X","Y","NEIGHBORS"
"Afghanistan","AFG","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3270825,3480811,3759162,4067992,4365798,4631347,4801781,4924653,5032304,5162557,5336840,5606987,5934968,6292828,6644955,6969404,7133722,7264788,7390836,7549815,7766590,8126681,8560749,9051268,9567711,10087598,10551800,10937230,11316509,66.0047336557856,33.8352307278467,"CHN,TJK,IRN,TKM,UZB,PAK"
"Angola","AGO","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4926078,5071476,5238302,5421915,5606129,5789720,5956206,6126032,6304184,6498101,6711619,6934595,7182006,7445833,7723412,8011142,8294270,8590630,8903075,9233513,9578368,9926136,10291553,10671132,11062740,11464498,11871028,12298645,12743692,17.5373676815488,-12.2933605437937,"ZMB,COG,COD,NAM"
"Albania","ALB","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1420577,1435960,1426968,1405233,1383889,1357669,1353847,1368603,1363892,1354626,1350697,1338328,1338094,1319856,1301290,1282212,1266919,1250632,1234727,1226713,1225744,1271832,1325041,1249102,1275842,1333035,1331755,1330861,1332298,20.0498339610888,41.1424498947452,"MKD,GRC,MNE"
"United Arab Emirates","ARE","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,939637,1007725,1084187,1167823,1252952,1338614,1404157,1479747,1565716,1662350,1771864,1908932,2063389,2261132,2541423,2928896,3430362,4054528,4731781,5360469,5891852,6149579,6286325,6339424,6367992,6414735,6415833,6447142,6502636,54.3001671015638,23.9052818784965,"OMN,SAU"
"Argentina","ARG","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13484131,13786316,14128799,14443022,14767850,14991493,15303465,15653101,15961436,16192192,16458400,16694710,16830712,17210175,17597867,17751236,18064580,18090391,18118705,18474862,18248453,18830069,19015971,19151572,19207364,19486951,19704082,19901885,20100709,-65.179806925003,-35.3813487952628,"PRY,CHL,BOL,URY,BRA"
"Armenia","ARM","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1464480,1450278,1423055,1388267,1353338,1323559,1305445,1294450,1289196,1286912,1285259,1290071,1294489,1298703,1303286,1308394,1310512,1313226,1311694,1325693,1380524,1404422,1401345,1414410,1411931,1398274,1402993,1409757,1415060,44.9299327563557,40.2895256918901,"IRN,GEO,TUR,AZE"
"Australia","AUS","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8498142,8542463,8616597,8651059,8820284,9025057,9153619,9220617,9322181,9416369,9603084,9789976,9947031,10126911,10247103,10556752,10801453,10969546,11259265,11494997,11692524,11859905,12026236,12205765,12355521,12592463,12741985,12910684,13037442,134.491000082134,-25.7328870417306,NA
"Austria","AUT","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3568280,3617487,3696441,3731731,3827521,3862031,3834266,3823947,3858935,3887965,3899183,3886923,3972924,3992277,3891230,4017205,4074463,4162650,4209485,4256778,4276558,4305299,4352343,4393513,4412005,4460834,4535197,4565912,4567526,14.1264760996378,47.585494392036,"CHE,SVN,ITA,DEU,CZE,SVK,HUN,LIE"
"Azerbaijan","AZE","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2905276,2944777,3024223,3109133,3185885,3247732,3295332,3340970,3386782,3439577,3508581,3586313,3663214,3742291,3829758,3927697,4021668,4123365,4260007,4390880,4472075,4540067,4626294,4700437,4788222,4873418,4966648,5002124,5035524,47.5459987891545,40.2882723471047,"RUS,IRN,GEO,TUR,ARM"
"Burundi","BDI","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2579227,2589699,2602226,2615470,2627556,2638344,2643793,2647273,2653527,2677085,2714429,2802498,2905730,3020850,3142756,3267144,3388958,3513541,3639043,3764253,3888282,3983756,4081386,4181126,4283003,4424012,4572248,4713453,4859820,29.8751215644644,-3.35939665747007,"RWA,TZA,COD"
"Belgium","BEL","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3948785,4037587,4076635,4100360,4163102,4195168,4197564,4218297,4255095,4367000,4411179,4307572,4350497,4381761,4465111,4616055,4634917,4722788,4766098,4788134,4887403,4871419,4912346,4968932,4984375,5000910,5004722,5011369,5026601,4.63873575677642,50.6395896350855,"FRA,NLD,DEU,LUX"
"Benin","BEN","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1954606,2022815,2096810,2177716,2260590,2343986,2415916,2488738,2563039,2639937,2720193,2800140,2884087,2983550,3084631,3186622,3279879,3374022,3469776,3568162,3669956,3771519,3887587,4008319,4133823,4264471,4397267,4541703,4692752,2.32785254448766,9.6417597022545,"BFA,TGO,NGA,NER"
"Burkina Faso","BFA","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3861684,3962279,4043081,4129264,4221098,4317416,4402861,4495695,4593755,4695676,4801334,4895917,4996386,5101563,5211557,5324990,5428598,5544104,5662809,5783758,5906179,6017265,6131581,6246727,6360090,6571496,6787147,6995457,7210974,-1.75456600914436,12.2695384574254,"MLI,GHA,CIV,TGO,BEN,NER"
"Bangladesh","BGD","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34585841,35621946,36723431,37894393,39138880,40461698,41775968,43172218,44628349,46112850,47598773,48946794,50303954,51642722,52935998,54175076,55153622,56091457,57004748,57920440,58860664,59932582,61016510,62111483,63214859,64315695,65383994,66642260,67901053,90.2381274322828,23.8673115800337,"IND,MMR"
"Bulgaria","BGR","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4025729,3994325,3968791,3900299,3848551,3788970,3728446,3661232,3587909,3513846,3437082,3508796,3419546,3350106,3392853,3334372,3442126,3517645,3583298,3509649,3426004,3343906,3353729,3378725,3371015,3344317,3273146,3243187,3211189,25.2155290863233,42.7689031797158,"ROU,MKD,GRC,SRB,TUR"
"Bahrain","BHR","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216689,222201,229879,238526,247930,257703,264010,271342,280118,291227,305448,325858,349795,378726,413257,453396,501657,556576,614060,668183,714129,727110,740032,747939,758823,777898,816373,865078,919306,50.5419693231534,26.0420513477029,NA
"Bahamas, The","BHS","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124676,129367,133615,137539,141380,144543,146833,149330,152132,155091,158124,163117,168364,173699,179253,185054,189997,195076,200382,205986,211925,216028,220582,225022,228988,232360,235445,238352,240489,-76.6284303801639,24.2903670222699,NA
"Bosnia and Herzegovina","BIH","Labor force, total","SL.TLF.TOTL.IN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1762564,1729442,1677146,1615367,1556691,1509447,1484018,1471855,1469684,1472629,1476986,1481224,1488928,1498405,1507645,1520922,1526001,1526931,1524360,1519557,1511947,1493318,1472565,1450915,1429288,1413554,1409620,1403237,1398209,17.7687673323019,44.1745012472211,"HRV,MNE,SRB"
